ACCOUNTNUMBER,FIRSTNAME,OPENINGDATE,AMOUNT,CREDITLIMIT
1597,Sharity,9/26/2019,6.4,2.63
1184,Averyl,5/18/2020,3.8,5.46
1041,Lennie,4/6/2020,2.1,7.68
1007,Sinclare,8/20/2019,6.32,5.51
1374,Lona,9/1/2019,5.46,5.27
1221,Shanon,8/18/2019,1.5,5.72
1353,Clerkclaude,8/8/2019,4.96,6.91
1231,Barnabe,9/17/2019,6.3,6.83
1472,Sheree,7/26/2019,8.95,9.55
1601,Silvester,6/14/2019,3.26,7.14
1248,Aube,11/2/2019,8.31,3.82
1426,Sheilah,6/17/2019,3.39,2.46
1158,Rosalia,8/11/2019,9.79,1.45
1694,Emanuel,6/4/2020,3.82,2.98
1309,Hakeem,1/5/2020,3.0,5.54
1387,Ricky,9/23/2019,7.78,4.26
1361,Shirley,4/20/2020,1.25,5.83
1045,Aguste,3/28/2020,1.65,8.09
1336,Kermie,5/17/2020,8.69,7.0
1560,Emyle,11/6/2019,2.2,2.02
1432,Kathryn,12/6/2019,7.27,9.95
1882,Annalee,2/4/2020,1.29,8.88
1205,Charmion,3/23/2020,1.86,5.39
1640,Deny,10/26/2019,9.56,5.88
1383,Maddy,1/28/2020,3.5,1.01
1278,Enrique,8/16/2019,3.75,2.85
1942,Pris,4/7/2020,3.73,2.53
1592,Adham,11/15/2019,2.1,2.39
1522,Shannon,9/4/2019,9.14,8.12
1659,Brittni,6/5/2020,6.47,4.41
1974,Elspeth,10/13/2019,9.86,2.82
1679,Eliot,11/29/2019,5.52,7.2
1930,Grazia,11/6/2019,1.4,2.15
1969,Austin,5/10/2020,2.0,5.25
1802,Jackqueline,9/12/2019,7.69,4.73
1927,Claudette,4/13/2020,3.62,3.43
1916,Jenifer,10/2/2019,1.55,6.06
1029,Lenci,3/27/2020,8.59,8.88
1508,Elfrida,9/6/2019,8.07,8.14
1874,Devlen,8/7/2019,8.66,4.53
1024,Baxy,12/20/2019,4.73,9.87
1916,Virginie,1/12/2020,2.53,7.78
1025,Theodor,9/27/2019,9.32,9.5
1076,Anallese,11/13/2019,8.47,3.56
1252,Marchall,6/10/2020,4.72,9.18
1611,Terrel,9/29/2019,7.94,7.42
1935,Corine,2/16/2020,1.29,7.42
1876,Tammie,10/12/2019,6.41,9.41
1942,Amii,6/4/2020,3.9,7.64
1142,Nil,12/21/2019,6.47,4.06
1005,Guenna,10/5/2019,9.82,8.92
2000,Domeniga,3/19/2020,6.53,7.17
1001,Mela,10/13/2019,8.28,8.06
1238,Meredeth,5/9/2020,3.64,6.52
1918,Brittne,2/28/2020,7.08,6.47
1096,Yolande,10/3/2019,9.39,9.72
1877,Gerhard,9/4/2019,5.57,2.33
1077,Virgina,4/16/2020,4.43,7.47
1727,Mitchell,10/25/2019,8.13,3.87
1172,Cordy,3/6/2020,5.48,2.17
1438,Myranda,1/6/2020,3.18,9.48
1219,Kenon,1/11/2020,2.08,2.4
1791,Murray,8/9/2019,7.23,5.31
1688,Shell,5/20/2020,5.16,1.62
1194,Bowie,10/27/2019,3.0,8.16
1800,Culley,6/11/2020,8.9,8.75
1032,Tedra,2/2/2020,2.05,6.33
1000,Keen,3/7/2020,3.08,3.77
1537,Ranna,3/12/2020,5.01,9.9
1956,Bonni,4/1/2020,2.16,9.35
1942,Ricard,11/6/2019,2.89,9.14
1558,Marrilee,7/21/2019,2.46,1.87
1767,Lock,2/21/2020,2.25,7.14
1909,Keefer,11/4/2019,9.83,5.7
1832,Lewiss,7/23/2019,4.07,4.29
1869,Maxine,8/26/2019,6.56,7.04
1305,Catlee,6/13/2020,4.44,4.2
1837,Mackenzie,8/30/2019,9.94,5.47
1748,Clem,5/30/2020,3.09,4.93
1344,Caz,11/26/2019,8.84,8.3
1738,Geri,8/21/2019,8.91,3.77
1179,Frieda,2/5/2020,8.34,2.49
1041,Zeke,7/26/2019,5.35,7.34
1551,Roth,9/15/2019,3.59,4.04
1987,Merissa,6/26/2019,6.77,5.7
1590,Katrinka,1/25/2020,5.42,4.56
1977,Hilde,10/4/2019,9.61,5.78
1284,Bernadette,10/26/2019,4.39,2.02
1501,Mariya,5/2/2020,5.25,8.87
1900,Florance,1/23/2020,7.08,8.75
1103,Bran,3/14/2020,3.8,4.0
1412,Atalanta,12/28/2019,6.9,2.82
1123,Ingemar,5/13/2020,9.69,4.17
1545,Minta,10/4/2019,6.57,7.93
1410,Mitchell,5/8/2020,4.74,3.66
1863,Regan,5/2/2020,5.46,5.25
1596,Lia,6/28/2019,2.87,2.62
1950,Jordain,10/14/2019,6.73,5.71
1179,Dionne,6/9/2020,9.7,2.25
1222,Anne-marie,8/1/2019,8.26,2.19
1877,Grayce,6/9/2020,4.68,4.46
1392,Mariette,1/14/2020,5.38,4.23
1547,Joyous,12/2/2019,3.81,3.15
1579,Sadye,8/1/2019,9.01,2.56
1803,Andre,10/23/2019,4.52,7.57
1423,Timmi,9/3/2019,5.86,3.99
1247,Kasey,5/8/2020,2.6,9.62
1190,Puff,3/18/2020,5.95,2.95
1515,Joelynn,6/24/2019,6.63,8.7
1531,Karylin,8/31/2019,9.73,6.65
1405,Hanan,2/24/2020,2.51,8.84
1953,Ynes,6/25/2019,8.85,4.81
1158,Shelby,9/21/2019,5.89,2.01
1325,Josias,12/25/2019,4.66,4.91
1962,Salvatore,8/10/2019,9.36,6.41
1962,Elbertine,3/3/2020,3.55,4.31
1118,Terrijo,9/3/2019,7.41,6.51
1294,Jeannette,8/22/2019,9.96,9.48
1718,Rog,1/21/2020,7.06,4.77
1811,Kalie,2/8/2020,4.97,1.17
1563,Quinn,5/20/2020,6.03,3.73
1492,Martin,9/16/2019,9.15,2.84
1528,Kylie,4/23/2020,7.4,7.77
1670,Antons,9/13/2019,8.39,1.78
1954,Valera,8/2/2019,9.57,3.38
1285,Nedi,8/11/2019,8.89,1.95
1237,Kizzie,10/12/2019,2.24,5.95
1055,Tammara,3/12/2020,7.46,7.76
1323,Chet,12/19/2019,2.1,3.81
1927,Bertie,8/11/2019,2.05,4.28
1923,Lisa,6/4/2020,2.17,5.12
1674,La verne,4/4/2020,5.16,4.48
1614,Ofella,5/24/2020,1.09,4.19
1217,Hildy,10/5/2019,3.48,8.09
1594,Jeanelle,7/15/2019,7.83,5.56
1773,Evelyn,3/16/2020,5.49,2.02
1461,Esme,6/15/2019,1.13,8.82
1931,Ashlin,8/31/2019,1.8,7.62
1442,Sena,6/25/2019,8.67,1.46
1163,Sydelle,6/1/2020,9.59,4.7
1870,Alvera,1/21/2020,1.97,6.62
1111,Bev,5/21/2020,3.69,3.62
1428,Birch,2/23/2020,8.81,6.03
1230,Mateo,10/13/2019,6.8,5.01
1834,Dulciana,9/25/2019,9.1,2.32
1819,Johanna,2/11/2020,9.02,5.1
1112,Viviana,8/23/2019,8.68,6.27
1395,Claire,2/6/2020,8.1,9.55
1744,Nicky,6/21/2019,4.77,5.13
1887,Franzen,4/12/2020,6.93,7.34
1073,Tiffie,1/13/2020,1.68,3.94
1668,Kermy,7/17/2019,4.58,8.4
1295,Maryann,2/9/2020,6.8,3.39
1000,Elfie,3/13/2020,3.18,3.71
1929,Dita,9/19/2019,6.16,2.53
1605,Charlotta,8/19/2019,2.53,6.03
1692,Lewes,11/19/2019,1.19,5.89
1728,Jane,5/24/2020,5.43,8.13
1752,Cordie,11/23/2019,3.34,8.49
1307,Donal,5/19/2020,1.83,5.46
1378,Robinett,5/30/2020,1.03,5.97
1528,Ursala,11/21/2019,6.36,6.52
1034,Owen,9/21/2019,6.24,3.69
1775,Happy,10/3/2019,4.27,1.48
1420,Budd,11/7/2019,7.31,7.95
1042,Mariann,10/17/2019,9.64,7.97
1448,Malissa,11/27/2019,5.17,3.55
1428,Kliment,7/2/2019,8.82,8.35
1859,Conrado,12/12/2019,4.36,6.58
1852,Ines,3/31/2020,1.87,8.9
1234,Tull,5/8/2020,8.12,1.92
1247,Kissee,5/26/2020,9.81,2.16
1202,Merrel,8/20/2019,9.54,5.08
1308,Lizbeth,9/4/2019,3.59,8.5
1141,Rebbecca,6/1/2020,7.68,5.58
1466,Alister,4/3/2020,9.69,7.64
1166,Kyla,3/24/2020,2.78,4.54
1815,Brooks,4/11/2020,3.79,5.56
1529,Garreth,11/13/2019,3.66,8.9
1834,Margi,2/4/2020,9.5,3.65
1175,Lissa,11/21/2019,6.31,8.2
1485,Tamra,10/17/2019,7.76,8.64
1125,Davina,12/20/2019,2.12,1.66
1172,Cam,4/10/2020,7.96,2.61
1412,Hasheem,5/10/2020,8.77,2.47
1611,Michaela,11/19/2019,6.14,7.12
1429,Lewiss,9/14/2019,3.55,9.66
1963,Jannelle,7/20/2019,7.21,8.0
1677,Ruthanne,10/23/2019,2.43,2.93
1133,Maryann,12/19/2019,5.18,9.33
1877,Ilario,8/2/2019,3.4,8.12
1240,Wilmette,6/11/2020,9.8,5.32
1755,Blakelee,9/8/2019,2.3,3.12
1659,Jocelin,11/24/2019,8.08,3.81
1496,Ofelia,2/10/2020,2.83,7.82
1858,Sydelle,3/2/2020,2.13,6.24
1139,Bill,5/9/2020,3.26,2.16
1715,Valentia,1/4/2020,4.63,2.79
1160,Julissa,8/8/2019,4.73,8.01
1879,Janifer,12/5/2019,2.52,4.24
1399,Karin,8/9/2019,7.41,2.37
1511,Nicol,4/30/2020,2.62,1.88
1859,Spike,12/14/2019,2.65,8.91
1917,Orlando,7/31/2019,9.9,6.84
1487,Ronna,10/12/2019,4.8,3.04
1201,Danya,4/30/2020,3.09,3.75
1170,Lelia,9/23/2019,2.99,2.13
1890,Hyman,8/7/2019,9.55,5.84
1056,Buck,8/4/2019,4.64,1.37
1764,Blinny,12/15/2019,2.81,8.02
1845,Rianon,2/20/2020,5.84,1.97
1808,Briano,8/27/2019,1.24,2.67
1846,Benedicto,7/31/2019,1.72,8.42
1917,Keely,7/13/2019,3.07,4.61
1538,Neely,8/19/2019,7.27,9.37
1415,Avis,7/15/2019,9.48,8.05
1503,Carilyn,9/27/2019,8.06,4.53
1131,Blair,6/15/2019,6.11,3.39
1919,Merl,8/31/2019,8.27,2.43
1574,Kerwinn,12/17/2019,1.8,9.23
1549,Holli,2/17/2020,3.58,7.38
1293,Dana,8/24/2019,4.81,1.98
1027,Ingaborg,1/15/2020,5.89,1.55
1254,Langsdon,11/7/2019,3.17,2.32
1842,Jody,7/26/2019,3.49,8.2
1535,Mechelle,12/15/2019,4.87,8.16
1105,Amby,4/26/2020,8.55,9.21
1622,Cosetta,5/30/2020,6.48,2.07
1579,Chickie,1/23/2020,7.75,5.83
1725,Patrizia,8/31/2019,9.02,3.16
1743,Cleavland,10/31/2019,6.58,8.79
1191,Stacee,2/9/2020,1.62,6.84
1767,Philly,10/5/2019,4.22,6.39
1573,Miltie,7/22/2019,4.27,7.64
1562,Reese,7/11/2019,9.33,7.79
1662,Xymenes,2/20/2020,4.6,4.84
1094,Jacquenetta,11/30/2019,4.88,2.37
1281,Glori,4/18/2020,5.85,8.13
1201,Luce,11/17/2019,3.48,2.52
1841,Zenia,11/8/2019,6.43,8.27
1250,Dede,2/13/2020,3.69,1.5
1364,Vyky,6/14/2019,3.95,5.68
1133,Eddy,10/6/2019,5.81,4.83
1289,Rana,2/14/2020,6.13,6.83
1052,Elbert,11/13/2019,1.25,3.71
1186,Emelda,4/7/2020,5.92,9.0
1589,Tomkin,1/20/2020,2.82,5.4
1216,Rab,3/3/2020,7.76,3.6
1365,Angele,7/5/2019,5.37,9.21
1681,Garfield,12/28/2019,3.06,1.46
1430,Ephraim,4/11/2020,5.99,8.94
1458,Kipp,7/30/2019,5.21,1.57
1686,Eba,9/20/2019,3.47,7.1
1934,Sandy,4/14/2020,7.75,3.93
1638,Bret,12/27/2019,4.8,4.11
1169,Leslie,1/30/2020,1.68,6.25
1925,Gordan,8/19/2019,9.48,3.38
1646,Anallise,7/7/2019,6.65,3.59
1810,Mead,3/12/2020,1.87,2.16
1924,Leola,8/19/2019,6.18,8.94
1712,Cinnamon,3/9/2020,5.24,9.34
1301,Rick,9/20/2019,3.87,8.24
1818,Lenora,10/15/2019,7.43,1.32
1710,Charmain,10/3/2019,5.0,9.0
1308,Mickey,11/21/2019,5.47,8.41
2000,Gwenny,7/26/2019,1.65,4.4
1023,Franky,4/22/2020,4.23,2.78
1632,Steward,11/2/2019,2.19,3.75
1612,Leone,12/19/2019,3.61,5.58
1412,Putnem,5/23/2020,8.73,2.43
1434,Ruby,7/18/2019,7.95,4.21
1723,Douglass,7/7/2019,3.41,7.54
1180,Costanza,2/18/2020,3.94,4.21
1829,Guendolen,7/24/2019,3.56,1.55
1228,Coreen,6/7/2020,3.09,6.4
1029,Vere,4/12/2020,9.97,4.43
1049,Norma,10/18/2019,7.04,4.23
1845,Arturo,12/26/2019,6.76,9.59
1607,Terrie,4/18/2020,8.8,9.37
1748,Romain,9/30/2019,9.13,7.29
1446,Brynna,2/15/2020,1.29,3.86
1763,Carmella,9/18/2019,3.41,6.95
1070,Camila,7/24/2019,9.39,2.32
1205,Koressa,2/13/2020,1.78,7.31
1774,Melesa,12/31/2019,2.01,9.61
1647,Bartel,1/24/2020,2.3,9.94
1033,Rick,7/15/2019,2.73,2.71
1652,Alix,10/21/2019,6.57,1.43
1613,Ericka,10/25/2019,1.57,8.05
1532,Alfy,3/28/2020,3.58,5.81
1046,Marina,12/25/2019,1.37,7.14
1466,Britt,7/6/2019,6.49,6.7
1010,Nissa,2/18/2020,1.3,2.45
1384,Alister,5/6/2020,4.16,9.39
1343,Klement,9/29/2019,7.48,7.99
1951,Caz,4/16/2020,4.89,9.72
1651,Brendan,11/24/2019,5.89,7.76
1354,Arvie,5/11/2020,3.75,1.01
1337,Ring,9/20/2019,1.32,6.11
1420,Worth,2/16/2020,5.65,8.73
1487,Torin,12/28/2019,8.72,3.12
1195,Mallory,2/29/2020,6.99,9.2
1263,Amalia,1/14/2020,5.44,4.37
1147,Mersey,7/14/2019,6.15,5.5
1814,Charlene,6/30/2019,8.17,6.1
1026,Tanya,12/17/2019,9.2,4.19
1517,Lotty,1/27/2020,1.81,4.83
1734,Zacherie,8/14/2019,8.49,8.36
1019,Rianon,10/31/2019,8.78,6.39
1690,Kristen,4/24/2020,6.22,2.07
1759,Bee,3/21/2020,8.23,3.3
1091,Patti,7/9/2019,5.94,5.83
1064,Claiborne,5/13/2020,3.39,3.82
1529,Anderea,6/23/2019,1.19,5.84
1658,Barbie,3/24/2020,2.78,3.48
1827,Odette,10/9/2019,3.27,1.52
1248,Hugibert,4/2/2020,1.93,9.5
1674,Jojo,4/25/2020,9.91,6.02
1736,Zarla,6/12/2020,2.22,1.25
1066,Amos,4/27/2020,8.83,2.16
1909,Archambault,10/17/2019,3.44,2.16
1318,Marnie,10/19/2019,8.76,9.88
1127,Lynne,3/20/2020,1.74,4.43
1659,Roxane,2/6/2020,9.2,8.45
1625,Seumas,4/24/2020,8.61,2.24
1377,Bartholomeus,2/2/2020,9.34,1.62
1986,Addy,5/25/2020,8.09,7.23
1216,Con,10/12/2019,7.37,6.44
1303,Gilligan,1/11/2020,5.4,3.69
1759,Artair,7/14/2019,2.55,9.0
1688,Shari,4/26/2020,6.74,5.16
1827,Bennett,7/4/2019,3.48,4.66
1441,Candide,12/11/2019,6.3,3.69
1258,Alex,8/10/2019,5.39,4.08
1858,Ringo,6/28/2019,8.37,3.78
1627,Osmond,3/16/2020,4.88,5.67
1471,Tanya,9/13/2019,5.09,2.34
1716,Sergeant,11/4/2019,1.02,7.75
1325,Valli,9/20/2019,7.69,8.94
1992,Phaidra,10/19/2019,6.59,6.62
1857,Hanan,4/30/2020,4.0,7.75
1476,Effie,5/12/2020,1.94,5.15
1354,Pavla,5/15/2020,8.56,3.9
1088,Margareta,6/23/2019,2.1,8.68
1004,Finley,5/7/2020,2.43,9.71
1431,Ayn,5/7/2020,1.28,6.06
1992,Alain,8/29/2019,7.14,9.76
1575,Dani,10/26/2019,4.27,5.58
1361,Keir,3/14/2020,9.65,1.97
1440,Mag,7/26/2019,7.0,1.59
1972,Markus,11/19/2019,7.18,4.85
1428,Atlante,12/25/2019,3.0,8.22
1775,Seth,5/26/2020,6.1,8.61
1114,Emmet,3/25/2020,6.66,1.32
1884,Mirelle,6/28/2019,4.07,9.44
1635,Rickard,4/1/2020,8.48,5.9
1873,Edlin,12/17/2019,5.25,3.76
1594,Mel,4/7/2020,3.04,5.68
1471,Benedick,5/20/2020,7.88,1.89
1500,Augusta,11/27/2019,8.55,1.13
1210,Lorrin,1/15/2020,9.2,5.18
1100,Avigdor,2/17/2020,6.51,7.08
1072,Chane,5/23/2020,1.69,9.37
1119,Astrid,3/14/2020,8.14,5.74
1977,Trumann,8/17/2019,8.46,9.8
1772,Pooh,5/19/2020,4.96,6.69
1305,Blancha,2/9/2020,3.3,3.39
1582,Gustave,7/13/2019,4.11,8.5
1516,Bessie,7/29/2019,5.02,9.56
1001,Nev,6/8/2020,8.0,1.15
1406,Barthel,8/19/2019,1.07,4.54
1208,Wolfy,6/20/2019,5.24,1.37
1935,Nancee,8/24/2019,8.72,5.88
1312,Bellina,6/7/2020,4.99,1.45
1397,Lanny,3/15/2020,6.38,7.11
1766,Haley,8/29/2019,5.74,4.77
1403,Sidoney,1/21/2020,5.02,3.59
1619,Lammond,10/1/2019,3.34,4.47
1879,Shem,2/13/2020,7.49,5.47
1497,Sheelah,5/10/2020,7.99,8.17
1586,Alexis,6/29/2019,7.76,7.15
1126,Henryetta,5/17/2020,4.77,5.79
1822,Hirsch,1/31/2020,2.37,3.82
1329,Rosy,3/9/2020,6.67,2.16
1908,Rube,11/14/2019,5.36,5.43
1440,Duke,7/2/2019,6.7,1.32
1100,Modesta,11/21/2019,8.7,5.88
1857,Diarmid,1/29/2020,4.99,1.71
1746,Jodie,9/9/2019,4.75,8.38
1139,Sean,4/23/2020,7.49,9.81
1782,Jennie,6/18/2019,4.38,7.73
1223,Terrye,4/27/2020,6.14,8.3
1532,Ianthe,3/15/2020,5.35,6.67
1473,Gaylor,1/27/2020,1.56,2.1
1166,Sib,9/26/2019,2.77,9.4
1860,Cart,5/4/2020,8.0,1.6
1100,Franciskus,1/27/2020,6.95,5.16
1732,Archibold,11/28/2019,3.49,2.03
1874,Munroe,3/11/2020,3.09,2.52
1594,Nananne,9/23/2019,6.42,4.08
1475,Gill,9/19/2019,2.31,1.81
1984,Petronille,1/5/2020,1.35,7.47
1030,Rhona,9/7/2019,5.61,7.44
1275,Owen,8/19/2019,6.28,4.43
1897,Trip,7/20/2019,1.03,3.46
1021,Mel,10/29/2019,2.08,3.03
